JLCPCB BOM Tool - BOM Matching,,,,,,,,,,,,,,,,,
BOM name?bom-JLCPCB Assembly Order.xlsx,,,Download Time?2026-06-11 21:17:47,,,,"* Our matching results are updated in real-time, but stock and prices may change. 
If it's been over 24 hours, please re-match before placing your order.",,,,,,,,,,
PCB Assembled Qty?5,,,Est. Total Price?17.4196,,,,,,,,,,,,,,
Your BOM,,,,,Matched Parts,,,,,,,Order Information,,,,,
Top Designator,Bottom Designator,Comment,Footprint,JLCPCB Part #,Matches,Part # ,Manufacturer,Footprint,Description,Category,Warning,JLCPCB Part #,Product link,Lib Type,Qty,Source,Total Price ($)
,AE1,2450AT18A100E,ANT-SMD_L3.2-W1.6,,Select by System,2450AT18A100E,Johanson Dielectrics,1206,-40?~+125? 0.5dBi 1.3mm 1.6mm 2.4GHz 2W 3.2mm 50? Patch Antenna SMA 1206 Antennas ROHS,Antennas,,C89334,https://jlcpcb.com/partdetail/JohansonDielectrics-2450AT18A100E/C89334,Extended,5,5 JLCPCB,2.6175
"C2,C7",,15pF,0201,,Select by Customer,GRM0335C1H150FA01D,Murata Electronics,0201,15pF 50V C0G Ý1% 0201 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C237567,https://jlcpcb.com/partdetail/237011-GRM0335C1H150FA01D/C237567,Extended,20,20 JLCPCB,0.114
C3,,10uF,0603,,Select by System,CL10A106KP8NNNC,Samsung Electro-Mechanics,0603,10V 10uF X5R Ý10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C19702,https://jlcpcb.com/partdetail/20411-CL10A106KP8NNNC/C19702,Basic,20,20 JLCPCB,0.346
C4,,100uF,0805,,Select by System,GRM21BR60J107ME15L,Murata Electronics,0805,100uF 6.3V X5R Ý20% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C141660,https://jlcpcb.com/partdetail/152991-GRM21BR60J107ME15L/C141660,Extended,5,5 JLCPCB,1.9015
"C5,C6",,10uF,0402,,Select by System,CL05A106MQ5NUNC,Samsung Electro-Mechanics,0402,10uF 6.3V X5R Ý20% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C15525,https://jlcpcb.com/partdetail/16204-CL05A106MQ5NUNC/C15525,Basic,20,20 JLCPCB,0.282
,C22,1.2pF,0201,,Select by System,GRM0335C1H1R2BA01D,Murata Electronics,0201,1.2pF 50V C0G 0201 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C85895,https://jlcpcb.com/partdetail/MurataElectronics-GRM0335C1H1R2BA01D/C85895,Extended,20,20 JLCPCB,0.104
,C23,1.8pF,0201,,Select by System,GRM0335C1H1R8WA01D,Murata Electronics,0201,1.8pF 50V C0G 0201 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C161416,https://jlcpcb.com/partdetail/172797-GRM0335C1H1R8WA01D/C161416,Extended,20,20 JLCPCB,0.25
"C28,C29","C26,C31",100nF,0402,,Select by System,CL05B104KO5NNNC,Samsung Electro-Mechanics,0402,100nF 16V X7R Ý10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C1525,https://jlcpcb.com/partdetail/1877-CL05B104KO5NNNC/C1525,Basic,40,40 JLCPCB,0.092
,C34,10nF,0201,,Select by System,0201B103K250NT,FH (Guangdong Fenghua Advanced Tech),0201,10nF 25V X7R Ý10% 0201 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C285010,https://jlcpcb.com/partdetail/270435-0201B103K250NT/C285010,Extended,20,20 JLCPCB,0.044
C1,C30,1uF,0402,,Select by System,CL05A105KA5NQNC,Samsung Electro-Mechanics,0402,1uF 25V X5R Ý10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C52923,https://jlcpcb.com/partdetail/53938-CL05A105KA5NQNC/C52923,Basic,40,40 JLCPCB,0.212
,L1,24nH,0201,,Select by System,MLG0603P24NHTZ10,TDK,0201,1.17? 140mA 14@500MHz 2.9GHz 24nH Ý3% 0201 Inductors (SMD) ROHS,Inductors (SMD),,C275178,https://jlcpcb.com/partdetail/TDK-MLG0603P24NHTZ10/C275178,Extended,20,20 JLCPCB,0.084
,L4,2.4nH,0201,,Select by System,LQP03TN2N4B02D,Murata Electronics,0201,10GHz 14@500MHz 2.4nH 200m? 500mA Thick Film Inductor 0201 Inductors (SMD) ROHS,Inductors (SMD),,C98042,https://jlcpcb.com/partdetail/MurataElectronics-LQP03TN2N4B02D/C98042,Extended,20,20 JLCPCB,0.198
,L5,2nH,0201,,Select by System,LQP03TN2N0B02D,Murata Electronics,0201,12.5GHz 14@500MHz 150m? 2nH 600mA Thick Film Inductor 0201 Inductors (SMD) ROHS,Inductors (SMD),,C86125,https://jlcpcb.com/partdetail/MurataElectronics-LQP03TN2N0B02D/C86125,Extended,20,20 JLCPCB,0.2
R1,,5.1K,0402,,Select by System,0402WGF5101TCE,UNI-ROYAL(Uniroyal Elec),0402,-55?~+155? 5.1k? 50V 62.5mW Thick Film Resistor Ý1% Ý100ppm/? 0402 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,,C25905,https://jlcpcb.com/partdetail/26648-0402WGF5101TCE/C25905,Basic,20,20 JLCPCB,0.018
"R2,R3",,16,0201,,Unconfirmed,WR02X160 JAL,Walsin Tech Corp,0201,-55?~+125? 16? 25V 50mW Thick Film Resistor Ý200ppm/? Ý5% 0201 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.The comment (WR02X160 JAL) of this part does not match the one (16) provided in your BOM. Please confirm;,C2612421,https://jlcpcb.com/partdetail/Walsin_TechCorp-WR02X160JAL/C2612421,Extended,20,20 JLCPCB,0.024
U2,,TS3USB221RSER,UQFN-10_L2.0-W1.5-P0.50-BL,,Select by System,TS3USB221RSER,Texas Instruments,UQFN-10(1.5x2),-40?~+85? 1.1GHz 10ns 17ns 2.3V~3.6V 250ps 2:1 6pF 6? USB UQFN-10(1.5x2) Analog Switches - Special Purpose ROHS,Analog Switches - Special Purpose,,C130085,https://jlcpcb.com/partdetail/TexasInstruments-TS3USB221RSER/C130085,Extended,5,5 JLCPCB,1.655
U3,,XT25F32FDTIGT,DFN-8_L3.0-W2.0-P0.50-BL-EP_XT25XXX,,Select by System,XT25F32FDTIGT,XTX,DFN-8,"-40?~+85? 0.3uA 100,000 cycles 133MHz 2.7V~3.6V 20 Years 32Mbit 400us SPI DFN-8 NOR FLASH ROHS",NOR FLASH,,C7429719,https://jlcpcb.com/partdetail/XTX-XT25F32FDTIGT/C7429719,Extended,2,2 JLCPCB,2.181
U4,,TLV75733PDRVR,TDFN-6_L2.0-W2.0-P0.65-TL-EP,,Select by System,TLV75733PDRVR,Texas Instruments,WSON-6(2x2),"-40?~+125?@(Tj) 1 1A 25uA 3.3V 425mV@(1A) 45dB@(100kHz) 5.5V 71.5uVrms Fixed Positive Under Voltage Lockout?Over Current Protection?Soft Start?Enable?Thermal Shutdown WSON-6(2x2) Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS","Voltage Regulators - Linear, Low Drop Out (LDO) Regulators",,C2868428,https://jlcpcb.com/partdetail/TexasInstruments-TLV75733PDRVR/C2868428,Extended,5,5 JLCPCB,1.5545
,U5,ESP32-C3,QFN-32_L5.0-W5.0-P0.50-TL-EP3.7,,Select by System,ESP32-C3,Espressif Systems,QFN-32-EP(5x5),12bit 160MHz 22 3V~3.6V Others QFN-32-EP(5x5) Microcontrollers (MCU/MPU/SOC) ROHS,Microcontrollers (MCU/MPU/SOC),,C2838500,https://jlcpcb.com/partdetail/EspressifSystems-ESP32C3/C2838500,Extended,2,2 JLCPCB,3.6598
,USB1,GT-USB-8016A,USB-TYPE-C-SMD_GT-USB-8016A,,Select by System,GT-USB-8016A,G-Switch,SMD,-40?~+85? 0.15mm 1 12mm 9P Black Laminated board Male Type-C USB 2.0 SMD USB Connectors ROHS,USB Connectors,,C2988371,https://jlcpcb.com/partdetail/GSwitch-GT_USB8016A/C2988371,Extended,2,2 JLCPCB,1.0664
USB2,,USB-212-BCW,USB-A-SMD_USB-212-BCW,,Select by System,USB-212-BCW,XUNPU,SMD,"-20?~+70? 1 1.5A 18.8mm 30V 4P 5,000 cycles Black Male Surface Mount, Right Angle Type-A USB 2.0 SMD USB Connectors ROHS",USB Connectors,,C720521,https://jlcpcb.com/partdetail/XUNPU-USB_212BCW/C720521,Extended,3,3 JLCPCB,0.3234
X1,,XTM20040000FT00351001,CRYSTAL-SMD_4P-L2.0-W1.6-BL-A,,Select by System,XTM20040000FT00351001,TOGNJING,SMD2016-4P,-20?~+70? 40MHz 40? 9pF Crystal Oscillator Ý10ppm Ý10ppm SMD2016-4P Crystals ROHS,Crystals,,C37635335,https://jlcpcb.com/partdetail/TOGNJING-XTM20040000FT00351001/C37635335,Extended,5,5 JLCPCB,0.4925
,"_8,_7,_6,_5,_4,_3,_2",,,,No matches,No Part Selected,,,,,,,,,,,
